"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"2017"	"2017"	10	55504	Unreliable
	"Baldwin County, AL"	"01003"	"2017"	"2017"	32	212628	15.05
	"Calhoun County, AL"	"01015"	"2017"	"2017"	15	114728	Unreliable
	"Etowah County, AL"	"01055"	"2017"	"2017"	20	102755	19.46
	"Houston County, AL"	"01069"	"2017"	"2017"	13	104346	Unreliable
	"Jefferson County, AL"	"01073"	"2017"	"2017"	112	659197	16.99
	"Lauderdale County, AL"	"01077"	"2017"	"2017"	11	92538	Unreliable
	"Lee County, AL"	"01081"	"2017"	"2017"	17	161604	Unreliable
	"Limestone County, AL"	"01083"	"2017"	"2017"	10	94402	Unreliable
	"Madison County, AL"	"01089"	"2017"	"2017"	54	361046	14.96
	"Mobile County, AL"	"01097"	"2017"	"2017"	56	413955	13.53
	"Montgomery County, AL"	"01101"	"2017"	"2017"	45	226646	19.85
	"Morgan County, AL"	"01103"	"2017"	"2017"	23	118818	19.36
	"Shelby County, AL"	"01117"	"2017"	"2017"	17	213605	Unreliable
	"Talladega County, AL"	"01121"	"2017"	"2017"	17	80065	Unreliable
	"Tuscaloosa County, AL"	"01125"	"2017"	"2017"	23	207811	11.07
	"Anchorage Borough, AK"	"02020"	"2017"	"2017"	22	294356	7.47
	"Fairbanks North Star Borough, AK"	"02090"	"2017"	"2017"	10	99703	Unreliable
	"Cochise County, AZ"	"04003"	"2017"	"2017"	17	124756	Unreliable
	"Coconino County, AZ"	"04005"	"2017"	"2017"	11	140776	Unreliable
	"Maricopa County, AZ"	"04013"	"2017"	"2017"	500	4307033	11.61
	"Mohave County, AZ"	"04015"	"2017"	"2017"	45	207200	21.72
	"Navajo County, AZ"	"04017"	"2017"	"2017"	14	108956	Unreliable
	"Pima County, AZ"	"04019"	"2017"	"2017"	128	1022769	12.52
	"Pinal County, AZ"	"04021"	"2017"	"2017"	40	430237	9.30
	"Yavapai County, AZ"	"04025"	"2017"	"2017"	40	228168	17.53
	"Yuma County, AZ"	"04027"	"2017"	"2017"	21	207534	10.12
	"Benton County, AR"	"05007"	"2017"	"2017"	26	266300	9.76
	"Boone County, AR"	"05009"	"2017"	"2017"	10	37381	Unreliable
	"Craighead County, AR"	"05031"	"2017"	"2017"	12	107115	Unreliable
	"Garland County, AR"	"05051"	"2017"	"2017"	19	98658	Unreliable
	"Jefferson County, AR"	"05069"	"2017"	"2017"	12	69115	Unreliable
	"Lonoke County, AR"	"05085"	"2017"	"2017"	15	72898	Unreliable
	"Pulaski County, AR"	"05119"	"2017"	"2017"	62	393956	15.74
	"Saline County, AR"	"05125"	"2017"	"2017"	17	119323	Unreliable
	"Sebastian County, AR"	"05131"	"2017"	"2017"	14	128107	Unreliable
	"Union County, AR"	"05139"	"2017"	"2017"	10	39449	Unreliable
	"Washington County, AR"	"05143"	"2017"	"2017"	17	231996	Unreliable
	"White County, AR"	"05145"	"2017"	"2017"	10	79016	Unreliable
	"Alameda County, CA"	"06001"	"2017"	"2017"	170	1663190	10.22
	"Butte County, CA"	"06007"	"2017"	"2017"	32	229294	13.96
	"Contra Costa County, CA"	"06013"	"2017"	"2017"	144	1147439	12.55
	"El Dorado County, CA"	"06017"	"2017"	"2017"	25	188987	13.23
	"Fresno County, CA"	"06019"	"2017"	"2017"	81	989255	8.19
	"Humboldt County, CA"	"06023"	"2017"	"2017"	20	136754	14.62
	"Imperial County, CA"	"06025"	"2017"	"2017"	12	182830	Unreliable
	"Kern County, CA"	"06029"	"2017"	"2017"	97	893119	10.86
