stateabb,countyname,statefips,countyfips,ruralcode,persistentpov,active_md_nf17,active_md_nf16,active_md_nf15,active_md_nf14,active_md_nf13,active_md_nf12,active_md_nf11,active_md_nf10,active_md_nf05,active_md_nf00,active_md_nf90,active_md_nf80,active_md_nf70,active_md_nf60,genprac17,genprac15,genprac10,dfammed17,dfammed15,dfammed10,intmed17,intmed15,intmed10,ped17,ped15,ped10,obgyn17,obgyn15,obgyn10,psych_pc17,psych_pc15,psych_pc10,tothosp17,tothosp15,tothosp10,prev_stays16,prev_stays15,prev_stays14,prev_stays13,prev_stays12,rurclin18,rurclin17,rurclin16,rurclin15,rurclin14,rurclin13,rurclin12,rurclin11,rurclin10,nhsc_sites19,nhsc_sites18,nhsc_sites17,nhsc_sites16,nhsc_sites15,nhsc_wpc19,nhsc_wpc18,nhsc_wpc17,nhsc_wpc16,nhsc_wpc15,nhsc_wpc14,nhsc_wpc13,nhsc_wmh19,nhsc_wmh18,nhsc_wmh17,nhsc_wmh16,nhsc_wmh15,nhsc_wmh14,nhsc_wmh13,nhsc_pcp19,nhsc_pcp18,nhsc_pcp17,nhsc_pcp16,nhsc_pcp15,nhsc_pcp14,nhsc_pcp13,nhsc_mhp19,nhsc_mhp18,nhsc_mhp17,nhsc_mhp16,nhsc_mhp15,nhsc_mhp14,nhsc_mhp13,popest18,popest17,popest16,popest15,popest14,popest13,popest12,popest11,popest10,popest09,popest08,popest07,popest06,popest05,popest00,pop6517,pop6516,pop6515,pop6514,pop6513,pop6512,pop6511,pop6510,infmort1317,infmort1216,infmort1115,infmort1014,infmort0913,infmort0812,infmort0711,infmort0610,infmort0509,infmort0408,infmort0307,infmort0206,infmort0105,infmort9600,sui1517,sui1416,sui1315,sui0810,povperc17,povperc16,povperc15,povperc14,povperc13,povperc12,povperc11,povperc10,pop65perc10,pop65perc11,pop65perc12,pop65perc13,pop65perc14,pop65perc15,pop65perc16,pop65perc17,pcp17,pcp15,pcp10,pcpratio17,pcpratio15,pcpratio10,pcp15weight,pcp17weight,pcp10weight
AL,Autauga,01,001,02,0,38,36,37,39,36,34,35,33,33,28,19,4,5,7,1,2,2,13,13,15,10,10,6,1,1,1,0,1,0,0,0,1,1,1,1,6599,5876,5098,5105,5829,0,0,0,0,1,1,0,0,0,1,2,2,2,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.4,0,0,0.25,0.25,0,0,0,0,0,0,0,55601,55504,55416,55347,55395,55246,55514,55267,54571,50756,50364,49960,49730,48612,43671,8392,8162,7921,7661,7466,7244,6773,6546,NA,NA,NA,NA,NA,NA,NA,26,25.6,24.8,24.8,24.8,25.6,26,12,10,NaN,NaN,18.7,18.7,18.7,18.7,18.7,18.7,17.4,20,19.4,19.1,18.9,18.9,18.9,18.7,18.7,17.8,24,25,22,0.43240126837705395,0.4516956655283936,0.40314452731304173,12.6,10.7,10.7
AL,Baldwin,01,003,03,0,417,397,387,386,379,382,374,367,297,256,106,60,19,31,6,4,6,75,73,70,41,38,40,27,24,23,21,22,21,13,11,11,4,4,4,3833,3539,3990,4248,4271,0,0,0,0,0,0,0,0,0,8,8,7,9,10,2,2,3,1,0,1,2,0,0,1,1,2,2,4,2,2,4,1,0,1,2,0,0,0.95,1.45,2.45,2.5,2.5,218022,212628,208563,203709,200111,195540,190790,186717,182265,179878,174439,171769,169162,162586,140415,42413,41104,39062,37385,35461,33827,31877,30568,26,26,26,26,26,26,26,26,26,26,26,26,26,24.8,42,42,40,33,20,20,18.7,18.7,17.4,18.7,18.7,18.7,16.1,14.4,14.4,12.8,12.8,11.2,11.2,11.2,164,157,154,0.7713001109919673,0.7707072343391799,0.8449236002523799,23.1,23.1,24.3
AL,Barbour,01,005,06,1,11,12,13,12,11,13,13,13,17,17,16,12,13,11,0,0,1,4,4,5,2,4,4,0,1,0,1,1,0,0,0,0,1,1,1,4736,5047,6174,5643,7206,0,2,2,2,2,1,1,1,1,2,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24881,25270,25965,26489,26887,27076,27201,27119,27457,29737,29309,27941,28171,28414,29038,4757,4678,4546,4433,4294,4143,3966,3909,NA,NA,NA,NA,NA,NA,NA,20.5,20.5,22.4,23.2,24.8,26,26,NaN,NaN,NaN,NaN,5.6,7.8,6.6,10.9,7.8,7.8,7.8,10.9,18.7,18.7,17.8,17.8,16.1,14.4,12.8,12.8,7,10,9,0.2770083102493075,0.3775151949865982,0.3277852642313435,9,5.7,7.3
AL,Bibb,01,007,01,0,16,19,18,15,8,6,5,6,10,11,9,3,4,7,1,1,1,13,16,5,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,5998,5899,5406,5495,5196,0,1,1,1,1,1,1,2,2,8,5,5,6,5,2,2,2,2,2,1,1,2,2,0,0,0,0,0,4.13,5.13,6.39,3,3,1,1,0.8,1,0,0,0,0,0,22400,22668,22643,22583,22506,22512,22597,22766,22915,21587,21629,21535,21482,21516,20826,3632,3494,3392,3328,3216,3132,3019,2906,NA,NA,NA,NA,NA,NA,NA,20.5,20.5,20.5,20.5,23.2,25.6,22.4,NaN,NaN,NaN,NaN,13.6,13.6,12.2,14.9,12.2,13.6,12.2,13.6,19.1,18.9,18.9,18.7,18.7,17.8,17.8,16.1,13,17,5,0.5734956767248985,0.7527786387990967,0.2181976871045167,23.1,16.9,4.1
AL,Blount,01,009,01,0,15,15,16,15,23,22,16,17,16,19,13,6,5,6,0,0,0,10,10,9,1,1,2,2,1,1,0,0,0,0,0,0,1,1,1,4162,3679,3362,4274,5727,0,4,1,1,1,1,1,1,2,3,3,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57840,58013,57704,57673,57719,57872,57826,57677,57322,58345,57441,56614,56436,55725,51024,10351,10379,10110,9813,9496,9216,8671,8439,NA,NA,NA,NA,NA,NA,NA,26,26,26,25.6,25.6,24.8,24.8,11,NaN,NaN,NaN,18.7,17.4,17.4,16.2,16.2,16.2,17.4,16.2,18.7,17.8,17.8,16.1,14.4,14.4,14.4,14.4,13,12,12,0.22408770448003035,0.20806963397083555,0.2093437074770594,4.1,4.1,4.1
AL,Bullock,01,011,06,1,4,4,4,4,6,6,5,8,9,9,7,4,6,7,0,0,0,0,0,1,2,2,4,1,1,1,0,0,1,0,0,0,1,1,1,6767,5111,5278,6353,5143,0,3,3,3,3,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10138,10309,10362,10696,10764,10639,10474,10542,10914,10985,10796,10781,10906,11055,11714,1631,1684,1635,1600,1555,1533,1435,1469,NA,NA,NA,NA,NA,NA,NA,24,26,26,26,26,26,20.5,NaN,NaN,NaN,NaN,4.7,5.6,2.1,4.7,4.7,5.6,5.6,6.6,18.9,18.9,18.7,18.7,18.7,17.8,16.1,17.8,3,3,7,0.2910078572121447,0.2804786836200449,0.6413780465457211,5.7,5.7,19.1
AL,Butler,01,013,06,1,10,11,10,13,12,10,12,16,13,15,8,9,9,12,0,0,0,2,2,1,3,4,4,1,1,2,1,1,4,0,0,0,2,2,2,7962,7834,7621,8823,9937,0,3,3,3,3,2,2,2,2,1,1,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.25,19680,19825,19998,20154,20296,20265,20307,20650,20947,19964,20090,20157,20520,20766,21399,3877,3804,3704,3644,3597,3542,3522,3489,NA,NA,NA,NA,NA,NA,NA,24.8,24,23.2,24.8,25.6,26,26,NaN,NaN,NaN,NaN,13.6,10.9,10.9,10.9,7.8,9.3,10.9,7.8,16.1,14.4,14.4,14.4,14.4,12.8,11.2,11.2,7,8,11,0.3530895334174023,0.39694353478217725,0.5251348641810283,9,9,14.8
AL,Calhoun,01,015,03,0,191,195,197,195,193,191,194,197,200,184,133,117,62,54,2,2,2,32,32,32,26,29,24,14,15,14,11,12,13,4,4,3,3,4,4,6450,5687,6070,6310,6901,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0,0,0,114277,114728,114611,115620,115916,116736,117296,117797,118572,114081,113419,113103,112903,112141,112249,19862,19347,18900,18499,18149,17782,17148,16990,25.6,24.8,26,25.6,26,25.6,25.6,25.6,25.6,26,26,26,25.6,23.2,26,21,19,16,16.2,16.2,14.9,13.6,13.6,13.6,13.6,12.2,18.7,18.7,17.8,17.8,17.8,16.1,16.1,14.4,83,88,83,0.7234502475420125,0.7611139941186645,0.6999966265222818,23.1,21.9,20.7
AL,Chambers,01,017,06,0,26,32,29,29,28,27,28,27,36,33,28,25,17,17,0,0,0,4,6,4,9,8,8,1,2,2,1,1,1,0,0,0,0,0,1,5511,5210,5082,5858,5970,0,0,0,0,0,0,0,0,0,4,3,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,33615,33713,33843,34123,34076,34162,34064,33939,34215,34320,34424,34764,35176,35460,36583,6432,6455,6364,6251,6094,5987,5759,5706,NA,NA,NA,NA,NA,NA,NA,26,26,26,26,26,26,26,NaN,NaN,NaN,NaN,14.9,14.9,12.2,13.6,12.2,13.6,12.2,7.8,16.1,16.1,14.4,14.4,12.8,12.8,11.2,11.2,15,17,15,0.4449322219915166,0.4981976965682971,0.4384042086804033,12.6,10.7,10.7
AL,Cherokee,01,019,06,0,12,12,13,9,7,8,7,8,7,10,7,5,6,4,0,0,0,7,6,5,1,3,1,0,0,0,0,0,0,0,0,0,1,1,1,6577,4805,5275,5862,6880,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,26032,25857,25725,25859,26037,26203,26021,26057,25989,24448,24545,24560,24863,24522,23988,5848,5664,5578,5446,5264,5029,4795,4651,NA,NA,NA,NA,NA,NA,NA,25.6,25.6,24,24.8,26,26,26,NaN,NaN,NaN,NaN,16.2,16.2,14.9,14.9,13.6,14.9,12.2,13.6,14.4,12.8,11.2,9.8,9.8,8.9,8,8,8,9,6,0.3093939745523456,0.34804130090104024,0.2308669052291354,7.3,7.3,4.1
