v129_rawvalue_11,v129_rawvalue_12,v129_rawvalue_13,v129_rawvalue_14,v129_rawvalue_15,v129_rawvalue_16,v129_rawvalue_17,fips,county
26,26,26,26,26,26,26,00000,United States
24.8,24.8,24.8,25.6,25.6,25.6,25.6,01000,Alabama
25.6,25.6,26,26,26,26,26,01001,Autauga County
26,26,26,26,26,26,26,01003,Baldwin County
19.5,22.4,20.5,22.4,22.4,NA,NA,01005,Barbour County
23.2,23.2,20.5,20.5,23.2,20.5,20.5,01007,Bibb County
26,26,26,26,26,26,26,01009,Blount County
23.2,NA,NA,NA,NA,NA,NA,01011,Bullock County
24,24,NA,NA,NA,NA,NA,01013,Butler County
24.8,26,25.6,26,26,25.6,26,01015,Calhoun County
26,26,25.6,24.8,24.8,26,25.6,01017,Chambers County
26,NA,NA,NA,NA,NA,NA,01019,Cherokee County
24,24.8,24.8,24.8,25.6,26,26,01021,Chilton County
NA,NA,NA,NA,NA,NA,NA,01023,Choctaw County
24,24.8,24.8,23.2,NA,NA,NA,01025,Clarke County
NA,NA,NA,NA,NA,NA,NA,01027,Clay County
NA,NA,NA,NA,NA,NA,NA,01029,Cleburne County
24.8,24.8,24.8,25.6,25.6,26,26,01031,Coffee County
24.8,25.6,24.8,26,25.6,24.8,24.8,01033,Colbert County
NA,NA,NA,NA,NA,NA,NA,01035,Conecuh County
NA,NA,NA,NA,NA,NA,NA,01037,Coosa County
25.6,25.6,25.6,24.8,24.8,26,25.6,01039,Covington County
NA,NA,NA,NA,NA,NA,NA,01041,Crenshaw County
26,26,26,26,26,26,26,01043,Cullman County
26,26,26,26,26,26,26,01045,Dale County
26,25.6,26,26,26,26,26,01047,Dallas County
26,26,26,26,26,26,26,01049,DeKalb County
26,26,26,26,25.6,26,26,01051,Elmore County
24.8,24,24.8,25.6,26,25.6,25.6,01053,Escambia County
24.8,24.8,24.8,23.2,23.2,24,24,01055,Etowah County
NA,NA,NA,NA,NA,NA,NA,01057,Fayette County
25.6,24,25.6,26,26,26,26,01059,Franklin County
26,NA,NA,NA,NA,NA,NA,01061,Geneva County
NA,NA,NA,NA,NA,NA,NA,01063,Greene County
NA,NA,NA,NA,NA,NA,NA,01065,Hale County
NA,NA,NA,NA,NA,NA,NA,01067,Henry County
25.6,25.6,25.6,24.8,24.8,25.6,24.8,01069,Houston County
25.6,26,25.6,24.8,24,23.2,24,01071,Jackson County
22.4,23.2,23.2,24,24,24,24,01073,Jefferson County
NA,NA,NA,NA,NA,NA,NA,01075,Lamar County
26,26,26,26,26,25.6,26,01077,Lauderdale County
26,26,25.6,26,NA,NA,NA,01079,Lawrence County
26,26,26,26,26,26,26,01081,Lee County
26,26,26,26,26,26,26,01083,Limestone County
NA,NA,NA,NA,NA,NA,NA,01085,Lowndes County
20.5,22.4,22.4,NA,NA,NA,NA,01087,Macon County
25.6,25.6,25.6,25.6,26,26,26,01089,Madison County
NA,24,NA,NA,NA,NA,NA,01091,Marengo County
23.2,24.8,24,23.2,22.4,23.2,NA,01093,Marion County
24,25.6,24.8,25.6,25.6,25.6,26,01095,Marshall County
25.6,25.6,25.6,25.6,25.6,24.8,24.8,01097,Mobile County
NA,NA,NA,NA,NA,20.5,22.4,01099,Monroe County
23.2,24,24.8,24,24.8,24.8,24.8,01101,Montgomery County
25.6,26,25.6,25.6,25.6,25.6,25.6,01103,Morgan County
20.5,NA,NA,NA,NA,NA,NA,01105,Perry County
17.5,NA,22.4,19.5,22.4,18.5,19.5,01107,Pickens County
26,24.8,24,24,24,24.8,25.6,01109,Pike County
25.6,NA,NA,NA,NA,NA,NA,01111,Randolph County
23.2,22.4,23.2,24,24.8,24,24,01113,Russell County
26,26,25.6,26,26,26,26,01115,St. Clair County
26,26,26,26,26,26,26,01117,Shelby County
NA,NA,NA,NA,NA,NA,NA,01119,Sumter County
22.4,20.5,20.5,20.5,20.5,24.8,24.8,01121,Talladega County
23.2,25.6,23.2,23.2,23.2,25.6,25.6,01123,Tallapoosa County
20.5,23.2,23.2,23.2,23.2,24.8,24.8,01125,Tuscaloosa County
23.2,22.4,24,24,24,24.8,25.6,01127,Walker County
NA,NA,NA,NA,NA,NA,NA,01129,Washington County
NA,NA,NA,NA,NA,NA,NA,01131,Wilcox County
23.2,23.2,23.2,NA,NA,NA,NA,01133,Winston County
26,26,26,26,26,26,26,02000,Alaska
NA,NA,NA,NA,NA,NA,NA,02013,Aleutians East Borough
NA,NA,NA,NA,NA,NA,NA,02016,Aleutians West Census Area
26,26,26,26,26,26,26,02020,Anchorage Borough
19.5,23.2,24,24,25.6,24,24.8,02050,Bethel Census Area
NA,NA,NA,NA,NA,NA,NA,02060,Bristol Bay Borough
NA,NA,NA,NA,NA,NA,NA,02068,Denali Borough
NA,NA,NA,NA,NA,NA,NA,02070,Dillingham Census Area
26,26,26,26,26,26,26,02090,Fairbanks North Star Borough
NA,NA,NA,NA,NA,NA,NA,02100,Haines Borough
26,NA,NA,NA,NA,NA,NA,02110,Juneau Borough
26,26,NA,NA,26,NA,26,02122,Kenai Peninsula Borough
NA,NA,NA,NA,NA,NA,NA,02130,Ketchikan Gateway Borough
NA,NA,NA,NA,NA,NA,NA,02150,Kodiak Island Borough
NA,NA,NA,NA,NA,NA,NA,02164,Lake and Peninsula Borough
26,26,26,26,26,26,26,02170,Matanuska-Susitna Borough
23.2,22.4,22.4,NA,NA,NA,NA,02180,Nome Census Area
22.4,NA,NA,NA,NA,NA,NA,02185,North Slope Borough
NA,NA,NA,NA,NA,NA,NA,02188,Northwest Arctic Borough
NA,NA,NA,NA,NA,NA,NA,02201,Prince of Wales-Outer Ketchikan Census Area
NA,NA,NA,NA,NA,NA,NA,02220,Sitka Borough
NA,NA,NA,NA,NA,NA,NA,02232,Skagway-Hoonah-Angoon Census Area
NA,NA,NA,NA,NA,NA,NA,02240,Southeast Fairbanks Census Area
NA,NA,NA,NA,NA,NA,NA,02261,Valdez-Cordova Census Area
13.1,20.5,16.4,17.5,NA,NA,NA,02270,Wade Hampton Census Area
NA,NA,NA,NA,NA,NA,NA,02280,Wrangell-Petersburg Census Area
NA,NA,NA,NA,NA,NA,NA,02282,Yakutat Borough
NA,NA,NA,NA,NA,NA,NA,02290,Yukon-Koyukuk Census Area
26,26,26,26,26,26,26,04000,Arizona
25.6,26,26,26,26,24.8,24,04001,Apache County
26,25.6,25.6,26,26,26,26,04003,Cochise County
26,26,26,26,26,26,26,04005,Coconino County
25.6,24.8,25.6,25.6,25.6,26,26,04007,Gila County
26,26,26,26,26,26,26,04009,Graham County
NA,NA,NA,NA,NA,NA,NA,04011,Greenlee County
NA,NA,NA,NA,NA,NA,NA,04012,La Paz County
26,26,26,26,26,26,26,04013,Maricopa County
26,26,26,26,26,26,26,04015,Mohave County
26,26,26,26,25.6,26,26,04017,Navajo County
26,26,26,26,26,26,26,04019,Pima County
26,26,26,26,26,26,26,04021,Pinal County
26,26,26,26,26,26,26,04023,Santa Cruz County
26,26,26,26,26,26,26,04025,Yavapai County
26,26,26,26,26,26,26,04027,Yuma County
26,25.6,26,26,26,26,26,05000,Arkansas
NA,NA,NA,NA,NA,NA,NA,05001,Arkansas County
26,23.2,NA,NA,NA,NA,NA,05003,Ashley County
26,NA,NA,24.8,25.6,25.6,NA,05005,Baxter County
26,26,26,26,26,26,26,05007,Benton County
26,26,26,NA,26,26,NA,05009,Boone County
NA,NA,NA,NA,NA,NA,NA,05011,Bradley County
NA,NA,NA,NA,NA,NA,NA,05013,Calhoun County
25.6,24.8,25.6,NA,NA,NA,NA,05015,Carroll County
NA,NA,NA,NA,NA,NA,NA,05017,Chicot County
NA,NA,NA,NA,NA,NA,NA,05019,Clark County
NA,NA,NA,NA,NA,NA,NA,05021,Clay County
NA,NA,NA,NA,NA,NA,NA,05023,Cleburne County
NA,NA,NA,NA,NA,NA,NA,05025,Cleveland County
NA,24.8,NA,NA,NA,NA,NA,05027,Columbia County
26,NA,NA,NA,NA,NA,NA,05029,Conway County
25.6,24.8,25.6,25.6,25.6,25.6,25.6,05031,Craighead County
26,26,26,26,26,25.6,25.6,05033,Crawford County
18.5,19.5,20.5,20.5,20.5,24,24,05035,Crittenden County
NA,23.2,NA,NA,NA,NA,22.4,05037,Cross County
NA,NA,NA,NA,NA,NA,NA,05039,Dallas County
NA,NA,NA,NA,NA,NA,NA,05041,Desha County
24,NA,NA,NA,NA,NA,NA,05043,Drew County
26,26,26,26,26,25.6,26,05045,Faulkner County
NA,NA,NA,NA,NA,NA,NA,05047,Franklin County
NA,NA,NA,NA,NA,NA,NA,05049,Fulton County
26,26,25.6,26,26,26,26,05051,Garland County
NA,NA,NA,NA,NA,NA,NA,05053,Grant County
25.6,25.6,25.6,25.6,26,26,25.6,05055,Greene County
NA,NA,NA,NA,NA,NA,NA,05057,Hempstead County
26,NA,NA,NA,NA,NA,NA,05059,Hot Spring County
NA,NA,NA,NA,NA,NA,NA,05061,Howard County
24.8,26,26,26,25.6,25.6,26,05063,Independence County
NA,NA,NA,NA,NA,NA,NA,05065,Izard County
NA,NA,NA,NA,NA,NA,NA,05067,Jackson County
25.6,24.8,25.6,26,26,26,25.6,05069,Jefferson County
26,NA,NA,NA,NA,NA,NA,05071,Johnson County
NA,NA,NA,NA,NA,NA,NA,05073,Lafayette County
NA,NA,NA,NA,NA,NA,NA,05075,Lawrence County
NA,NA,NA,NA,NA,NA,NA,05077,Lee County
NA,NA,NA,NA,NA,NA,NA,05079,Lincoln County
NA,NA,NA,NA,NA,NA,NA,05081,Little River County
NA,NA,NA,NA,NA,23.2,NA,05083,Logan County
26,26,26,26,26,26,26,05085,Lonoke County
NA,NA,NA,NA,NA,NA,NA,05087,Madison County
NA,NA,NA,NA,NA,NA,NA,05089,Marion County
24.8,24.8,24,25.6,25.6,24.8,25.6,05091,Miller County
24.8,24.8,25.6,24,24,24,24.8,05093,Mississippi County
NA,NA,NA,NA,NA,NA,NA,05095,Monroe County
NA,NA,NA,NA,NA,NA,NA,05097,Montgomery County
NA,NA,NA,NA,NA,NA,NA,05099,Nevada County
NA,NA,NA,NA,NA,NA,NA,05101,Newton County
24,24,23.2,24.8,24.8,NA,NA,05103,Ouachita County
NA,NA,NA,NA,NA,NA,NA,05105,Perry County
25.6,24.8,24.8,NA,NA,NA,24.8,05107,Phillips County
NA,NA,NA,NA,NA,NA,NA,05109,Pike County
23.2,24,24,24,24,NA,NA,05111,Poinsett County
NA,NA,NA,NA,NA,NA,NA,05113,Polk County
26,26,26,26,26,26,26,05115,Pope County
NA,NA,NA,NA,NA,NA,NA,05117,Prairie County
24.8,24.8,25.6,25.6,25.6,26,25.6,05119,Pulaski County
NA,NA,NA,NA,NA,NA,NA,05121,Randolph County
24.8,24.8,24,24.8,26,24.8,24.8,05123,St. Francis County
25.6,26,26,25.6,26,26,26,05125,Saline County
NA,NA,NA,NA,NA,NA,NA,05127,Scott County
NA,NA,NA,NA,NA,NA,NA,05129,Searcy County
26,26,26,26,26,26,26,05131,Sebastian County
24.8,24,24,23.2,24.8,NA,NA,05133,Sevier County
NA,NA,NA,NA,NA,NA,NA,05135,Sharp County
NA,NA,NA,NA,NA,NA,NA,05137,Stone County
24,26,25.6,25.6,24,24.8,25.6,05139,Union County
NA,NA,NA,NA,NA,NA,NA,05141,Van Buren County
26,26,26,26,26,26,26,05143,Washington County
25.6,26,26,25.6,26,24,24,05145,White County
NA,NA,NA,NA,NA,NA,NA,05147,Woodruff County
24,25.6,NA,NA,NA,NA,NA,05149,Yell County
26,26,26,26,26,26,26,06000,California
26,26,26,26,26,26,26,06001,Alameda County
NA,NA,NA,NA,NA,NA,NA,06003,Alpine County
NA,NA,NA,NA,NA,NA,NA,06005,Amador County
26,26,26,26,26,26,26,06007,Butte County
NA,NA,NA,NA,NA,NA,NA,06009,Calaveras County
NA,NA,NA,NA,NA,NA,NA,06011,Colusa County
26,26,26,26,26,26,26,06013,Contra Costa County
25.6,NA,NA,NA,NA,NA,NA,06015,Del Norte County
26,26,26,26,26,26,26,06017,El Dorado County
26,26,26,26,26,26,26,06019,Fresno County
26,NA,NA,NA,NA,NA,NA,06021,Glenn County
26,26,26,26,26,26,26,06023,Humboldt County
26,26,26,26,26,26,26,06025,Imperial County
NA,NA,NA,NA,NA,NA,NA,06027,Inyo County
26,26,26,26,26,26,26,06029,Kern County
26,26,26,26,26,26,26,06031,Kings County
26,26,26,26,26,26,26,06033,Lake County
25.6,NA,NA,NA,NA,NA,NA,06035,Lassen County
26,26,26,26,26,26,26,06037,Los Angeles County
26,26,26,26,26,26,26,06039,Madera County
26,26,26,26,26,26,26,06041,Marin County
NA,NA,NA,NA,NA,NA,NA,06043,Mariposa County
25.6,26,26,26,26,26,26,06045,Mendocino County
26,26,26,26,26,26,26,06047,Merced County
NA,NA,NA,NA,NA,NA,NA,06049,Modoc County
23.2,NA,NA,NA,NA,NA,NA,06051,Mono County
26,26,26,26,26,26,26,06053,Monterey County
26,26,26,26,26,26,26,06055,Napa County
26,26,26,26,26,26,26,06057,Nevada County
26,26,26,26,26,26,26,06059,Orange County
26,26,26,26,26,26,26,06061,Placer County
NA,NA,NA,NA,NA,NA,NA,06063,Plumas County
26,26,26,26,26,26,26,06065,Riverside County
26,26,26,26,26,26,26,06067,Sacramento County
26,26,26,26,26,26,26,06069,San Benito County
26,26,26,26,26,26,26,06071,San Bernardino County
26,26,26,26,26,26,26,06073,San Diego County
26,26,26,26,26,26,26,06075,San Francisco County
26,26,26,26,26,26,26,06077,San Joaquin County
26,26,26,26,26,26,26,06079,San Luis Obispo County
26,26,26,26,26,26,26,06081,San Mateo County
26,26,26,26,26,26,26,06083,Santa Barbara County
26,26,26,26,26,26,26,06085,Santa Clara County
26,26,26,26,26,26,26,06087,Santa Cruz County
26,26,26,26,26,26,26,06089,Shasta County
NA,NA,NA,NA,NA,NA,NA,06091,Sierra County
26,NA,26,NA,NA,NA,NA,06093,Siskiyou County
26,26,26,26,26,26,26,06095,Solano County
26,26,26,26,26,26,26,06097,Sonoma County
26,26,26,26,26,26,26,06099,Stanislaus County
26,26,26,26,26,26,26,06101,Sutter County
26,26,26,26,26,26,26,06103,Tehama County
NA,NA,NA,NA,NA,NA,NA,06105,Trinity County
26,26,26,26,26,26,26,06107,Tulare County
NA,NA,NA,NA,NA,26,26,06109,Tuolumne County
26,26,26,26,26,26,26,06111,Ventura County
26,26,26,26,26,26,26,06113,Yolo County
26,26,26,26,26,26,26,06115,Yuba County
26,26,26,26,26,26,26,08000,Colorado
26,26,26,26,26,26,26,08001,Adams County
NA,NA,NA,NA,NA,NA,NA,08003,Alamosa County
26,26,26,26,26,26,26,08005,Arapahoe County
NA,NA,NA,NA,NA,NA,NA,08007,Archuleta County
NA,NA,NA,NA,NA,NA,NA,08009,Baca County
NA,NA,NA,NA,NA,NA,NA,08011,Bent County
26,26,26,26,26,26,26,08013,Boulder County
26,NA,26,26,26,NA,NA,08014,Broomfield County
NA,NA,NA,NA,NA,NA,NA,08015,Chaffee County
NA,NA,NA,NA,NA,NA,NA,08017,Cheyenne County
NA,NA,NA,NA,NA,NA,NA,08019,Clear Creek County
NA,NA,NA,NA,NA,NA,NA,08021,Conejos County
NA,NA,NA,NA,NA,NA,NA,08023,Costilla County
NA,NA,NA,NA,NA,NA,NA,08025,Crowley County
NA,NA,NA,NA,NA,NA,NA,08027,Custer County
NA,NA,NA,NA,NA,NA,NA,08029,Delta County
26,26,26,26,26,26,26,08031,Denver County
NA,NA,NA,NA,NA,NA,NA,08033,Dolores County
26,26,26,26,26,26,26,08035,Douglas County
26,26,26,26,26,26,26,08037,Eagle County
NA,NA,NA,NA,NA,NA,NA,08039,Elbert County
26,26,26,26,26,26,26,08041,El Paso County
26,26,26,NA,NA,NA,NA,08043,Fremont County
26,26,26,26,26,26,26,08045,Garfield County
NA,NA,NA,NA,NA,NA,NA,08047,Gilpin County
NA,NA,NA,NA,NA,NA,NA,08049,Grand County
NA,NA,NA,NA,NA,NA,NA,08051,Gunnison County
NA,NA,NA,NA,NA,NA,NA,08053,Hinsdale County
NA,NA,NA,NA,NA,NA,NA,08055,Huerfano County
NA,NA,NA,NA,NA,NA,NA,08057,Jackson County
26,26,26,26,26,26,26,08059,Jefferson County
NA,NA,NA,NA,NA,NA,NA,08061,Kiowa County
NA,NA,NA,NA,NA,NA,NA,08063,Kit Carson County
NA,NA,NA,NA,NA,NA,NA,08065,Lake County
NA,NA,NA,NA,NA,NA,NA,08067,La Plata County
26,26,26,26,26,26,26,08069,Larimer County
NA,NA,NA,NA,NA,NA,NA,08071,Las Animas County
NA,NA,NA,NA,NA,NA,NA,08073,Lincoln County
NA,NA,NA,NA,NA,NA,NA,08075,Logan County
26,26,26,26,26,26,26,08077,Mesa County
NA,NA,NA,NA,NA,NA,NA,08079,Mineral County
NA,NA,NA,NA,NA,NA,NA,08081,Moffat County
24.8,NA,NA,24.8,NA,NA,NA,08083,Montezuma County
25.6,26,26,25.6,26,NA,NA,08085,Montrose County
26,24.8,25.6,26,NA,NA,NA,08087,Morgan County
NA,NA,NA,NA,NA,NA,NA,08089,Otero County
NA,NA,NA,NA,NA,NA,NA,08091,Ouray County
NA,NA,NA,NA,NA,NA,NA,08093,Park County
NA,NA,NA,NA,NA,NA,NA,08095,Phillips County
NA,NA,NA,NA,NA,NA,NA,08097,Pitkin County
NA,NA,NA,NA,NA,NA,NA,08099,Prowers County
26,26,26,26,26,26,26,08101,Pueblo County
NA,NA,NA,NA,NA,NA,NA,08103,Rio Blanco County
NA,NA,NA,NA,NA,NA,NA,08105,Rio Grande County
NA,NA,NA,NA,NA,NA,NA,08107,Routt County
NA,NA,NA,NA,NA,NA,NA,08109,Saguache County
NA,NA,NA,NA,NA,NA,NA,08111,San Juan County
NA,NA,NA,NA,NA,NA,NA,08113,San Miguel County
NA,NA,NA,NA,NA,NA,NA,08115,Sedgwick County
NA,NA,NA,NA,NA,NA,NA,08117,Summit County
NA,NA,NA,NA,NA,NA,NA,08119,Teller County
NA,NA,NA,NA,NA,NA,NA,08121,Washington County
26,26,26,26,26,26,26,08123,Weld County
NA,NA,NA,NA,NA,NA,NA,08125,Yuma County
26,26,26,26,26,26,26,09000,Connecticut
26,26,26,26,26,26,26,09001,Fairfield County
26,26,26,26,26,26,26,09003,Hartford County
26,26,26,26,26,26,26,09005,Litchfield County
26,26,26,26,26,26,26,09007,Middlesex County
26,26,26,26,26,26,26,09009,New Haven County
26,26,26,26,26,26,26,09011,New London County
26,26,26,26,26,26,26,09013,Tolland County
26,26,26,26,26,26,26,09015,Windham County
25.6,25.6,25.6,25.6,26,26,26,10000,Delaware
26,26,26,26,26,26,26,10001,Kent County
24.8,25.6,25.6,24.8,25.6,25.6,25.6,10003,New Castle County
26,26,26,26,26,26,26,10005,Sussex County
22.4,23.2,23.2,24.8,24.8,25.6,26,11000,District of Columbia
22.4,23.2,23.2,24.8,24.8,25.6,26,11001,District of Columbia
26,26,26,26,26,26,26,12000,Florida
24.8,24,24.8,25.6,26,25.6,26,12001,Alachua County
23.2,25.6,24,24.8,24,24,24.8,12003,Baker County
26,25.6,26,26,26,26,26,12005,Bay County
26,NA,25.6,25.6,23.2,24.8,23.2,12007,Bradford County
26,26,26,26,26,26,26,12009,Brevard County
26,26,26,26,26,26,26,12011,Broward County
NA,NA,NA,NA,NA,NA,NA,12013,Calhoun County
26,26,26,26,26,26,26,12015,Charlotte County
26,26,26,26,26,26,26,12017,Citrus County
26,26,26,26,26,26,26,12019,Clay County
26,26,26,26,26,26,26,12021,Collier County
24,22.4,24,24.8,24,25.6,25.6,12023,Columbia County
26,NA,NA,NA,NA,NA,NA,12027,DeSoto County
NA,NA,NA,NA,NA,NA,NA,12029,Dixie County
24.8,24,24.8,25.6,25.6,25.6,25.6,12031,Duval County
24.8,24.8,24.8,25.6,25.6,25.6,26,12033,Escambia County
26,26,26,26,26,26,26,12035,Flagler County
NA,NA,NA,NA,NA,NA,NA,12037,Franklin County
22.4,22.4,23.2,24,23.2,23.2,24,12039,Gadsden County
NA,NA,NA,NA,NA,NA,NA,12041,Gilchrist County
NA,NA,NA,NA,NA,NA,NA,12043,Glades County
NA,NA,NA,NA,NA,NA,NA,12045,Gulf County
16.4,NA,NA,NA,NA,NA,NA,12047,Hamilton County
23.2,26,25.6,24.8,26,NA,NA,12049,Hardee County
26,26,26,26,26,NA,26,12051,Hendry County
26,26,26,26,26,26,26,12053,Hernando County
26,26,26,25.6,26,26,26,12055,Highlands County
25.6,25.6,25.6,25.6,25.6,26,26,12057,Hillsborough County
24.8,NA,NA,NA,NA,NA,NA,12059,Holmes County
26,26,26,25.6,25.6,25.6,26,12061,Indian River County
25.6,26,24.8,24.8,25.6,26,26,12063,Jackson County
NA,NA,NA,NA,NA,NA,NA,12065,Jefferson County
NA,NA,NA,NA,NA,NA,NA,12067,Lafayette County
26,26,26,26,26,26,26,12069,Lake County
26,26,26,26,26,26,26,12071,Lee County
24.8,24.8,25.6,25.6,26,26,26,12073,Leon County
26,25.6,26,NA,NA,NA,26,12075,Levy County
NA,NA,NA,NA,NA,NA,NA,12077,Liberty County
25.6,23.2,NA,NA,NA,NA,NA,12079,Madison County
26,26,26,26,26,26,26,12081,Manatee County
25.6,24.8,25.6,25.6,26,25.6,25.6,12083,Marion County
26,26,26,26,26,26,26,12085,Martin County
26,26,26,26,26,26,26,12086,Miami-Dade County
26,26,26,26,26,26,26,12087,Monroe County
26,26,26,26,26,26,26,12089,Nassau County
25.6,26,26,26,26,26,26,12091,Okaloosa County
26,26,26,26,26,26,26,12093,Okeechobee County
25.6,26,26,26,26,26,26,12095,Orange County
25.6,26,26,26,26,26,26,12097,Osceola County
26,26,26,26,26,26,26,12099,Palm Beach County
26,26,26,26,26,26,26,12101,Pasco County
25.6,26,25.6,26,26,26,26,12103,Pinellas County
26,25.6,26,26,26,26,26,12105,Polk County
26,23.2,24,25.6,26,26,25.6,12107,Putnam County
26,26,26,26,26,26,26,12109,St. Johns County
26,26,26,26,26,26,26,12111,St. Lucie County
26,26,26,26,26,26,26,12113,Santa Rosa County
26,26,26,26,26,26,26,12115,Sarasota County
26,26,26,26,26,26,26,12117,Seminole County
26,24.8,26,26,26,26,25.6,12119,Sumter County
23.2,24.8,24.8,24.8,24.8,26,25.6,12121,Suwannee County
24.8,NA,23.2,NA,NA,NA,NA,12123,Taylor County
NA,NA,NA,NA,NA,NA,NA,12125,Union County
26,26,26,26,26,26,26,12127,Volusia County
26,24.8,NA,NA,NA,NA,NA,12129,Wakulla County
26,26,25.6,25.6,25.6,26,26,12131,Walton County
NA,NA,NA,NA,NA,NA,NA,12133,Washington County
26,25.6,26,26,26,26,26,13000,Georgia
24,23.2,NA,NA,NA,NA,NA,13001,Appling County
NA,NA,NA,NA,NA,NA,NA,13003,Atkinson County
NA,NA,NA,NA,NA,NA,NA,13005,Bacon County
NA,NA,NA,NA,NA,NA,NA,13007,Baker County
26,25.6,26,26,26,24.8,24.8,13009,Baldwin County
24.8,NA,NA,NA,NA,NA,NA,13011,Banks County
26,26,26,26,26,26,26,13013,Barrow County
26,26,26,26,26,26,26,13015,Bartow County
26,22.4,24.8,NA,NA,22.4,23.2,13017,Ben Hill County
24.8,24,24,NA,NA,NA,NA,13019,Berrien County
20.5,20.5,20.5,22.4,22.4,22.4,22.4,13021,Bibb County
NA,NA,NA,NA,NA,NA,NA,13023,Bleckley County
NA,NA,NA,NA,NA,NA,NA,13025,Brantley County
24.8,NA,NA,NA,NA,NA,NA,13027,Brooks County
26,NA,NA,NA,26,NA,NA,13029,Bryan County
26,24,25.6,26,25.6,25.6,25.6,13031,Bulloch County
24,23.2,24,24,25.6,23.2,23.2,13033,Burke County
23.2,NA,NA,24.8,NA,NA,NA,13035,Butts County
NA,NA,NA,NA,NA,NA,NA,13037,Calhoun County
26,26,26,26,26,26,26,13039,Camden County
NA,NA,NA,NA,NA,NA,NA,13043,Candler County
26,26,26,26,26,26,26,13045,Carroll County
26,26,26,26,26,26,26,13047,Catoosa County
16.4,NA,NA,NA,NA,NA,NA,13049,Charlton County
24,24,24.8,25.6,26,26,26,13051,Chatham County
NA,NA,NA,NA,NA,NA,NA,13053,Chattahoochee County
26,24.8,NA,NA,NA,NA,NA,13055,Chattooga County
26,26,26,26,26,26,26,13057,Cherokee County
26,24.8,26,26,26,26,26,13059,Clarke County
NA,NA,NA,NA,NA,NA,NA,13061,Clay County
25.6,24.8,25.6,26,26,26,26,13063,Clayton County
NA,NA,NA,NA,NA,NA,NA,13065,Clinch County
26,26,26,26,26,26,26,13067,Cobb County
24.8,23.2,25.6,25.6,26,26,24.8,13069,Coffee County
26,25.6,26,26,25.6,26,25.6,13071,Colquitt County
26,26,26,26,26,26,26,13073,Columbia County
24,NA,NA,NA,NA,NA,NA,13075,Cook County
26,26,26,26,26,26,26,13077,Coweta County
NA,NA,NA,NA,NA,NA,NA,13079,Crawford County
23.2,24,24.8,24.8,24.8,20.5,20.5,13081,Crisp County
NA,NA,NA,NA,NA,NA,NA,13083,Dade County
NA,NA,NA,NA,NA,NA,NA,13085,Dawson County
26,26,26,26,25.6,25.6,NA,13087,Decatur County
26,25.6,26,26,26,26,26,13089,DeKalb County
24.8,NA,NA,NA,NA,NA,NA,13091,Dodge County
NA,NA,NA,NA,NA,NA,NA,13093,Dooly County
23.2,24,24,24,23.2,20.5,20.5,13095,Dougherty County
26,26,26,26,26,26,26,13097,Douglas County
20.5,NA,NA,NA,NA,NA,NA,13099,Early County
NA,NA,NA,NA,NA,NA,NA,13101,Echols County
26,24.8,26,26,26,25.6,25.6,13103,Effingham County
NA,24,NA,NA,NA,NA,NA,13105,Elbert County
24,24,24,25.6,24.8,NA,24.8,13107,Emanuel County
NA,NA,NA,NA,NA,NA,NA,13109,Evans County
NA,NA,NA,NA,NA,NA,NA,13111,Fannin County
