pcp_rate09,pcp_rate10,pcp_rate11,pcp_rate12,pcp_rate13,pcp_rate14,pcp_rate15,pcp_rate16,pcp_rate17,fips,county
NA,NA,28.7,NA,NA,NA,28.7,28.7,28.7,00000,United States
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01000,Alabama
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01001,Autauga County
28.6,28.6,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01003,Baldwin County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01005,Barbour County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01007,Bibb County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01009,Blount County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01011,Bullock County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01013,Butler County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01015,Calhoun County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01017,Chambers County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01019,Cherokee County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01021,Chilton County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01023,Choctaw County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01025,Clarke County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01027,Clay County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01029,Cleburne County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01031,Coffee County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01033,Colbert County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01035,Conecuh County
28.7,28.7,28.7,NA,NA,28.7,NA,NA,NA,01037,Coosa County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01039,Covington County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01041,Crenshaw County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01043,Cullman County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01045,Dale County
26.6,26.6,28.7,28.7,28.7,28.6,28.7,28.7,28.7,01047,Dallas County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01049,DeKalb County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01051,Elmore County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01053,Escambia County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.6,28.7,01055,Etowah County
25.9,25.9,28.7,27.2,28.7,28.7,25.3,26.6,25.3,01057,Fayette County
28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,01059,Franklin County
